,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
0,1571912460,7440.04,7442.23,7429.4,7439.85,18.47,137376.09,force_direct,
1,1571912520,7435.77,7440.82,7433.67,7440.04,14.4,107081.29,force_direct,
2,1571912580,7435.72,7438.33,7434.05,7435.77,14.5,107826.29,force_direct,
3,1571912640,7439.75,7442.02,7435.57,7435.72,22.82,169713.58,force_direct,
4,1571912700,7436.8,7439.77,7434.61,7439.75,13.39,99605.6,force_direct,
5,1571912760,7436.15,7438.2,7434.73,7436.8,8.143,60555.92,force_direct,
6,1571912820,7440.83,7442.25,7433.59,7436.15,21.73,161624.88,force_direct,
7,1571912880,7438.24,7442.2,7436.09,7440.83,11.95,88870.7,force_direct,
8,1571912940,7443.63,7445.15,7436.06,7438.24,13.77,102429.32,force_direct,
9,1571913000,7448.92,7449.99,7443.63,7443.63,18.11,134865.22,force_direct,
10,1571913060,7444.1,7448.92,7439.02,7448.92,19.21,142970.14,force_direct,
11,1571913120,7441.34,7445.05,7438.82,7444.1,9.802,72938.32,force_direct,
12,1571913180,7440.97,7441.67,7437.66,7441.34,5.617,41788.75,force_direct,
13,1571913240,7440.52,7440.97,7438.03,7440.97,7.044,52408.66,force_direct,
14,1571913300,7438.23,7440.52,7438.05,7440.52,8.759,65157.6,force_direct,
15,1571913360,7443.94,7444.22,7437.12,7438.23,11.64,86630.83,force_direct,
16,1571913420,7447.67,7448.21,7442.84,7443.94,12.01,89433.22,force_direct,
17,1571913480,7444.6,7448.41,7440.95,7447.67,17.84,132767.13,force_direct,
18,1571913540,7445.2,7445.92,7444.6,7444.6,3.078,22916.92,force_direct,
19,1571913600,7448.39,7450.0,7445.0,7445.2,19.68,146529.96,force_direct,
20,1571913660,7451.6,7453.35,7448.39,7448.39,18.97,141319.45,force_direct,
21,1571913720,7451.54,7453.06,7450.02,7451.6,9.72,72423.43,force_direct,
22,1571913780,7452.31,7453.0,7450.88,7451.54,10.37,77246.48,force_direct,
23,1571913840,7453.28,7454.59,7451.65,7452.31,19.81,147655.03,force_direct,
24,1571913900,7454.66,7455.0,7451.96,7453.28,10.54,78563.76,force_direct,
25,1571913960,7457.96,7459.88,7454.66,7454.66,30.93,230684.06,force_direct,
26,1571914020,7455.01,7457.99,7455.0,7457.96,25.8,192381.95,force_direct,
27,1571914080,7449.81,7456.09,7449.8,7455.01,50.56,376780.45,force_direct,
28,1571914140,7453.77,7454.43,7448.9,7449.81,20.12,149874.67,force_direct,
29,1571914200,7452.96,7453.77,7450.49,7453.77,16.05,119593.06,force_direct,
30,1571914260,7452.12,7455.51,7451.0,7452.96,11.69,87097.89,force_direct,
31,1571914320,7454.23,7455.99,7452.03,7452.12,13.89,103556.6,force_direct,
32,1571914380,7453.97,7454.6,7452.05,7454.23,21.19,157946.22,force_direct,
33,1571914440,7453.69,7454.01,7452.01,7453.97,23.01,171508.84,force_direct,
34,1571914500,7450.0,7456.0,7448.52,7453.69,23.26,173328.73,force_direct,
35,1571914560,7436.82,7450.0,7435.41,7450.0,20.58,153170.23,force_direct,
36,1571914620,7430.0,7436.82,7429.22,7436.82,34.51,256455.51,force_direct,
37,1571914680,7429.99,7438.06,7428.83,7430.0,73.44,545957.39,force_direct,
38,1571914740,7435.41,7439.62,7428.04,7429.99,33.68,250296.21,force_direct,
39,1571914800,7436.79,7437.62,7432.48,7435.41,23.9,177699.74,force_direct,
40,1571914860,7435.24,7441.98,7434.55,7436.79,15.57,115843.85,force_direct,
41,1571914920,7431.54,7435.64,7431.07,7435.24,7.997,59446.59,force_direct,
42,1571914980,7430.35,7432.75,7430.0,7431.54,9.867,73323.59,force_direct,
43,1571915040,7429.98,7432.23,7428.34,7430.35,13.49,100269.96,force_direct,
44,1571915100,7430.28,7430.32,7428.7,7429.98,20.14,149610.45,force_direct,
45,1571915160,7423.94,7430.28,7415.43,7430.28,85.5,634720.18,force_direct,
46,1571915220,7424.26,7427.13,7419.85,7423.94,32.04,237885.68,force_direct,
47,1571915280,7426.45,7427.63,7422.82,7424.26,27.95,207529.91,force_direct,
48,1571915340,7433.61,7434.75,7424.1,7426.45,25.79,191545.31,force_direct,
49,1571915400,7434.51,7435.0,7431.08,7433.61,18.16,134977.35,force_direct,
50,1571915460,7436.33,7440.0,7432.65,7434.51,28.14,209279.27,force_direct,
51,1571915520,7430.94,7436.33,7430.0,7436.33,15.59,115868.93,force_direct,
52,1571915580,7429.83,7435.11,7428.44,7430.94,14.12,104976.78,force_direct,
53,1571915640,7435.55,7435.79,7428.42,7429.83,12.5,92919.61,force_direct,
54,1571915700,7425.95,7436.41,7413.0,7435.55,83.34,618434.28,force_direct,
